Time (UTCG),x (km),y (km),z (km),vx (km/sec),vy (km/sec),vz (km/sec)
0.00,7000,0.000001,-0.001608,0.000002,1.310359,7.431412
10.00,6999.594282,13.070099,74.223033,-0.081244,1.310283,7.430981
20.00,6998.377141,26.138687,148.439069,-0.16248,1.310056,7.429689
30.00,6996.348719,39.204252,222.637896,-0.243698,1.309677,7.427535
40.00,6993.509249,52.265284,296.810912,-0.324887,1.309147,7.42452
50.00,6989.859063,65.320274,370.949518,-0.406039,1.308465,7.420645
60.00,6985.398582,78.367711,445.045118,-0.487143,1.307633,7.415909
70.00,6980.128323,91.406087,519.089122,-0.568191,1.306649,7.410314
80.00,6974.048899,104.433896,593.072947,-0.649174,1.305514,7.403859
90.00,6967.161012,117.449629,666.988014,-0.730081,1.304228,7.396546
100.00,6959.465463,130.451783,740.825755,-0.810903,1.302791,7.388376
110.00,6950.963143,143.438854,814.577609,-0.891631,1.301203,7.379348
120.00,6941.655037,156.409341,888.235026,-0.972256,1.299466,7.369466
130.00,6931.542225,169.361744,961.789466,-1.052768,1.297577,7.358729
140.00,6920.625879,182.294566,1035.232403,-1.133158,1.295539,7.347139
150.00,6908.907265,195.20631,1108.555322,-1.213417,1.293351,7.334697
160.00,6896.38774,208.095485,1181.749721,-1.293535,1.291014,7.321405
170.00,6883.068757,220.9606,1254.807116,-1.373504,1.288527,7.307264
180.00,6868.951859,233.800168,1327.719037,-1.453313,1.285891,7.292276
190.00,6854.038683,246.612704,1400.47703,-1.532953,1.283107,7.276442
200.00,6838.330957,259.396726,1473.07266,-1.612416,1.280174,7.259765
210.00,6821.830503,272.150758,1545.497512,-1.691692,1.277094,7.242246
220.00,6804.539233,284.873323,1617.743188,-1.770772,1.273865,7.223888
230.00,6786.459151,297.562951,1689.801313,-1.849646,1.270489,7.204692
240.00,6767.592355,310.218176,1761.663534,-1.928306,1.266967,7.184661
250.00,6747.94103,322.837533,1833.321518,-2.006743,1.263298,7.163797
260.00,6727.507455,335.419563,1904.766958,-2.084947,1.259483,7.142102
270.00,6706.293998,347.962813,1975.991572,-2.162909,1.255522,7.119579
280.00,6684.303119,360.465831,2046.987101,-2.24062,1.251416,7.096231
290.00,6661.537368,372.927173,2117.745316,-2.318072,1.247165,7.07206
300.00,6637.999382,385.345396,2188.258013,-2.395255,1.242771,7.04707
310.00,6613.691891,397.719067,2258.517016,-2.472161,1.238232,7.021262
320.00,6588.617713,410.046753,2328.514182,-2.548779,1.23355,6.994641
330.00,6562.779754,422.32703,2398.241394,-2.625103,1.228726,6.967208
340.00,6536.181009,434.558477,2467.690569,-2.701122,1.22376,6.938968
350.00,6508.824563,446.739681,2536.853655,-2.776828,1.218652,6.909923
360.00,6480.713586,458.869234,2605.722635,-2.852212,1.213403,6.880077
370.00,6451.851336,470.945732,2674.289523,-2.927265,1.208014,6.849434
380.00,6422.241161,482.967779,2742.546371,-3.001979,1.202486,6.817996
390.00,6391.886492,494.933986,2810.485265,-3.076345,1.196818,6.785768
400.00,6360.790848,506.842969,2878.098329,-3.150354,1.191012,6.752753
410.00,6328.957834,518.693351,2945.377725,-3.223998,1.185068,6.718956
420.00,6296.39114,530.483762,3012.315652,-3.297269,1.178987,6.684379
430.00,6263.094542,542.212838,3078.90435,-3.370157,1.17277,6.649028
440.00,6229.071899,553.879224,3145.136099,-3.442655,1.166417,6.612906
450.00,6194.327155,565.481571,3211.003221,-3.514753,1.15993,6.576017
460.00,6158.864339,577.018537,3276.498079,-3.586444,1.153308,6.538365
470.00,6122.687561,588.488789,3341.613081,-3.657719,1.146553,6.499956
480.00,6085.801014,599.890999,3406.340677,-3.72857,1.139665,6.460793
490.00,6048.208976,611.223851,3470.673363,-3.798989,1.132646,6.420881
500.00,6009.915803,622.486033,3534.603681,-3.868968,1.125495,6.380225
510.00,5970.925935,633.676244,3598.124219,-3.938498,1.118215,6.338829
520.00,5931.243892,644.793189,3661.227613,-4.007571,1.110805,6.296698
530.00,5890.874274,655.835583,3723.906548,-4.07618,1.103267,6.253837
540.00,5849.821761,666.80215,3786.153756,-4.144317,1.095601,6.210251
550.00,5808.091111,677.691622,3847.962021,-4.211973,1.087809,6.165945
560.00,5765.687162,688.502739,3909.324177,-4.27914,1.079891,6.120924
570.00,5722.614831,699.234252,3970.233111,-4.345812,1.071848,6.075194
580.00,5678.879109,709.88492,4030.681761,-4.41198,1.063681,6.028759
590.00,5634.485068,720.453511,4090.66312,-4.477636,1.055391,5.981626
600.00,5589.437853,730.938803,4150.170232,-4.542774,1.046979,5.933798
610.00,5543.742687,741.339585,4209.196199,-4.607384,1.038446,5.885283
620.00,5497.404866,751.654653,4267.734179,-4.671461,1.029792,5.836086
630.00,5450.429762,761.882816,4325.777385,-4.734996,1.02102,5.786212
640.00,5402.822822,772.022889,4383.319086,-4.797982,1.01213,5.735667
650.00,5354.589563,782.073702,4440.352614,-4.860412,1.003123,5.684458
660.00,5305.735577,792.034092,4496.871355,-4.922279,0.994,5.632589
670.00,5256.266528,801.902907,4552.868756,-4.983575,0.984761,5.580067
